date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren_period,yr_renovated_dt,date_dt
12/7/2014,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,1540,0.0,2014,2014.0,98115,47.6765,-122.32,1580,3090,1.0,2014,2014-12-07
6/3/2014,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1110,550.0,1979,1979.0,98122,47.6113,-122.29700000000001,1440,4080,36.0,1979,2014-06-03
11/20/2014,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1770,1000.0,1925,1925.0,98144,47.5747,-122.304,1440,4000,90.0,1925,2014-11-20
9/9/2014,975000.0,4,2.5,2720,11049,2.0,0.0,0.0,3,10,2720,0.0,1989,1989.0,98004,47.5815,-122.19200000000001,2750,11049,26.0,1989,2014-09-09
10/9/2014,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2240,0.0,2005,2005.0,98001,47.3378,-122.257,2221,4557,10.0,2005,2014-10-09
8/25/2014,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,1000,0.0,1968,1968.0,98042,47.3621,-122.11,1010,12635,47.0,1968,2014-08-25
6/12/2014,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,1600,1600.0,1965,1965.0,98004,47.6303,-122.215,3390,20158,50.0,1965,2014-06-12
9/12/2014,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,3070,1700.0,1973,1973.0,98005,47.6525,-122.16,3530,38917,42.0,1973,2014-09-12
1/5/2015,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1260,0.0,1972,1972.0,98034,47.7362,-122.179,1640,4745,43.0,1972,2015-01-05
6/10/2014,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,2250,500.0,1916,1916.0,98125,47.7168,-122.287,1510,7807,99.0,1916,2014-06-10
7/10/2014,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,2380,0.0,2005,2005.0,98038,47.3608,-122.036,2420,5000,10.0,2005,2014-07-10
3/16/2015,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1090,700.0,1965,1965.0,98042,47.3511,-122.073,1940,50529,50.0,1965,2015-03-16
11/5/2014,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,2390,1040.0,1986,1986.0,98075,47.5822,-121.98700000000001,3240,35020,29.0,1986,2014-11-05
10/13/2014,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,880,880.0,1956,1956.0,98008,47.6034,-122.125,1680,7500,59.0,1956,2014-10-13
4/20/2015,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,1040,0.0,1941,1941.0,98116,47.5636,-122.39399999999999,890,5060,74.0,1941,2015-04-20
6/9/2014,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,910,500.0,1956,1956.0,98133,47.7073,-122.34,1130,5693,59.0,1956,2014-06-09
3/23/2015,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,3450,0.0,2002,2002.0,98010,47.342,-122.025,3350,39750,13.0,2002,2015-03-23
12/2/2014,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2350,0.0,2003,2003.0,98038,47.3512,-122.008,2350,5363,12.0,2003,2014-12-02
12/22/2014,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1900,0.0,1992,1992.0,98038,47.349,-122.031,1870,6405,23.0,1992,2014-12-22
10/28/2014,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1010,1010.0,1948,1948.0,98118,47.5474,-122.291,1720,6720,67.0,1948,2014-10-28
1/28/2015,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1680,0.0,1964,1964.0,98059,47.4811,-122.149,1850,8797,51.0,1964,2015-01-28
6/2/2014,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,960,0.0,1952,1952.0,98125,47.7264,-122.31,1570,7203,63.0,1952,2014-06-02
11/14/2014,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1900,240.0,1925,1925.0,98119,47.6337,-122.365,2020,4800,90.0,1925,2014-11-14
11/3/2014,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,2660,0.0,1961,1961.0,98092,47.2909,-122.189,1590,8165,54.0,1961,2014-11-03
6/18/2014,461000.0,3,3.25,2770,6278,2.0,0.0,0.0,3,9,1980,790.0,2006,2006.0,98056,47.5228,-122.199,1900,7349,9.0,2006,2014-06-18
5/19/2014,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,1610,0.0,1979,1979.0,98056,47.518,-122.194,1950,2025,36.0,1979,2014-05-19
9/4/2014,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,765,265.0,2006,2006.0,98136,47.5394,-122.387,1030,1106,9.0,2006,2014-09-04
5/22/2014,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1980,0.0,1988,1988.0,98023,47.2897,-122.37200000000001,1980,7510,27.0,1988,2014-05-22
3/11/2015,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,3520,0.0,2001,2001.0,98199,47.6506,-122.391,2520,6250,14.0,2001,2015-03-11
2/26/2015,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1200,0.0,1962,1962.0,98023,47.321999999999996,-122.351,1350,10500,53.0,1962,2015-02-26
7/25/2014,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,1939.0,98117,47.687,-122.38600000000001,1570,4500,76.0,1939,2014-07-25
12/23/2014,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1290,290.0,1939,1939.0,98117,47.687,-122.38600000000001,1570,4500,76.0,1939,2014-12-23
9/8/2014,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,2390,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045,24.0,1991,2014-09-08
3/30/2015,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1960,0.0,1967,1967.0,98032,47.3576,-122.277,1750,15616,48.0,1967,2015-03-30
9/12/2014,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1160,0.0,1975,1975.0,98023,47.3036,-122.37799999999999,1160,6400,40.0,1975,2014-09-12
7/11/2014,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,1210,600.0,1980,1980.0,98038,47.4109,-121.958,1650,135036,35.0,1980,2014-07-11
5/16/2014,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,2320,0.0,1992,1992.0,98045,47.4838,-121.714,2550,35065,23.0,1992,2014-05-16
6/11/2014,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1270,800.0,1910,1910.0,98102,47.6415,-122.315,2200,4500,105.0,1910,2014-06-11
10/27/2014,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1440,540.0,1929,1929.0,98117,47.6775,-122.37200000000001,1610,3478,86.0,1929,2014-10-27
12/12/2014,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,4,8,2190,0.0,1983,1983.0,98077,47.7731,-122.08,2570,47777,32.0,1983,2014-12-12
10/7/2014,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,5.0,2010,2014-10-07
9/24/2014,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,1210,0.0,1954,1954.0,98058,47.4375,-122.184,1640,14910,61.0,1954,2014-09-24
4/2/2015,375000.0,3,2.5,2340,10005,1.0,0.0,0.0,4,8,1460,880.0,1978,1978.0,98058,47.4431,-122.133,2250,8162,37.0,1978,2015-04-02
5/23/2014,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1170,500.0,1939,1939.0,98117,47.6878,-122.38,1240,4005,76.0,1939,2014-05-23
7/23/2014,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1240,0.0,1985,1985.0,98198,47.3813,-122.322,1270,4966,30.0,1985,2014-07-23
3/5/2015,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,4,10,3140,0.0,1991,1991.0,98077,47.7304,-122.08200000000001,2990,35001,24.0,1991,2015-03-05
8/27/2014,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,2030,0.0,1942,1942.0,98052,47.6417,-122.109,2500,9433,73.0,1942,2014-08-27
7/25/2014,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,2310,0.0,1984,1984.0,98027,47.5386,-122.053,1940,9636,31.0,1984,2014-07-25
3/4/2015,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,700,560.0,1905,1905.0,98103,47.6823,-122.34899999999999,1380,3536,110.0,1905,2015-03-04
9/16/2014,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1160,0.0,1980,1980.0,98038,47.3624,-122.031,1540,11656,35.0,1980,2014-09-16
11/24/2014,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1080,1000.0,1971,1971.0,98108,47.5474,-122.295,2090,5500,44.0,1971,2014-11-24
10/28/2014,480000.0,4,2.5,3230,16171,2.0,0.0,0.0,3,9,2520,710.0,2001,2001.0,98001,47.3183,-122.25299999999999,2640,8517,14.0,2001,2014-10-28
11/21/2014,740500.0,3,3.5,4380,6350,2.0,0.0,0.0,3,8,2780,0.0,1900,1900.0,98117,47.6981,-122.368,1830,6350,115.0,1900,2014-11-21
6/26/2014,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,1590,0.0,2010,2010.0,98103,47.6824,-122.34700000000001,1620,3166,5.0,2010,2014-06-26
6/23/2014,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,880,0.0,1945,1945.0,98178,47.5009,-122.24799999999999,1190,6780,70.0,1945,2014-06-23
1/8/2015,171800.0,4,2.0,1570,9600,1.0,0.0,0.0,3,6,1570,0.0,1950,1950.0,98168,47.4965,-122.303,1880,9000,65.0,1950,2015-01-08
5/11/2015,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1610,0.0,1925,1925.0,98144,47.586999999999996,-122.294,1610,4040,90.0,1925,2015-05-11
1/2/2015,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1560,840.0,1964,1964.0,98177,47.7728,-122.38600000000001,2340,10856,51.0,1964,2015-01-02
11/19/2014,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,1450,0.0,1987,1987.0,98034,47.7288,-122.226,1580,9104,28.0,1987,2014-11-19
4/6/2015,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,770,0.0,1953,1953.0,98117,47.6999,-122.36399999999999,1710,6000,62.0,1953,2015-04-06
11/4/2014,445000.0,4,1.75,2100,4400,1.5,0.0,0.0,5,7,1720,380.0,1924,1924.0,98118,47.5299,-122.266,1850,4400,91.0,1924,2014-11-04
6/18/2014,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,2910,0.0,1990,1990.0,98052,47.6897,-122.098,2700,13992,25.0,1990,2014-06-18
3/2/2015,1450000.0,4,2.75,2750,17789,1.5,0.0,0.0,3,8,1980,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275,23.0,1992,2015-03-02
7/17/2014,445000.0,3,2.25,2100,8201,1.0,0.0,2.0,3,8,1620,480.0,1967,1967.0,98178,47.5091,-122.244,2660,8712,48.0,1967,2014-07-17
7/17/2014,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,1360,800.0,1978,1978.0,98023,47.3129,-122.39,2090,8400,37.0,1978,2014-07-17
6/13/2014,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,1720,600.0,1926,1926.0,98103,47.6763,-122.352,1700,4960,89.0,1926,2014-06-13
4/6/2015,430000.0,4,2.5,2070,4310,2.0,0.0,0.0,3,7,2070,0.0,2004,2004.0,98065,47.5319,-121.85,1970,3748,11.0,2004,2015-04-06
1/5/2015,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1060,0.0,1986,1986.0,98092,47.2761,-122.152,1420,7680,29.0,1986,2015-01-05
4/28/2015,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1440,570.0,1986,1986.0,98027,47.5343,-122.054,2060,9793,29.0,1986,2015-04-28
6/12/2014,784000.0,3,3.5,3950,111078,1.5,0.0,0.0,3,9,2460,1490.0,1989,1989.0,98052,47.696999999999996,-122.072,2480,88500,26.0,1989,2014-06-12
5/12/2014,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,1390,620.0,2014,2014.0,98029,47.5517,-121.99799999999999,1690,1662,1.0,2014,2014-05-12
1/26/2015,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2140,0.0,2005,2005.0,98107,47.6734,-122.38,1540,2285,10.0,2005,2015-01-26
8/13/2014,199000.0,3,1.75,1320,17390,1.0,0.0,0.0,4,7,1320,0.0,1956,1956.0,98003,47.3257,-122.296,1550,19265,59.0,1956,2014-08-13
8/5/2014,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1010,1010.0,1968,1968.0,98003,47.3309,-122.29899999999999,1750,8140,47.0,1968,2014-08-05
5/29/2014,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,4,8,1340,1250.0,1968,1968.0,98028,47.7689,-122.266,1550,10436,47.0,1968,2014-05-29
7/7/2014,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1190,0.0,1981,1981.0,98125,47.7135,-122.287,1060,5715,34.0,1981,2014-07-07
5/7/2014,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,1170,0.0,2014,2014.0,98107,47.6722,-122.381,1350,1310,1.0,2014,2014-05-07
6/27/2014,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1110,0.0,1925,1925.0,98119,47.6338,-122.35799999999999,1170,3600,90.0,1925,2014-06-27
7/8/2014,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,1550,1270.0,1968,1968.0,98006,47.5707,-122.12799999999999,2820,9375,47.0,1968,2014-07-08
5/8/2015,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1010,600.0,1962,1962.0,98058,47.4563,-122.171,1610,8579,53.0,1962,2015-05-08
4/15/2015,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,940,120.0,1923,1923.0,98133,47.7144,-122.351,1560,7940,92.0,1923,2015-04-15
2/27/2015,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1380,650.0,1961,1961.0,98006,47.5495,-122.17399999999999,2230,8824,54.0,1961,2015-02-27
12/3/2014,921500.0,4,2.5,3670,315374,2.0,0.0,0.0,4,9,3670,0.0,1994,1994.0,98077,47.7421,-122.02600000000001,2840,87991,21.0,1994,2014-12-03
6/25/2014,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,2370,180.0,1905,1905.0,98109,47.6354,-122.353,2200,4000,110.0,1905,2014-06-25
8/6/2014,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,3,7,2420,0.0,2007,2007.0,98027,47.5262,-121.943,1940,193842,8.0,2007,2014-08-06
10/30/2014,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1130,1130.0,1960,1960.0,98032,47.3887,-122.286,1360,18000,55.0,1960,2014-10-30
11/4/2014,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,980,450.0,1947,1947.0,98103,47.6873,-122.336,1450,4599,68.0,1947,2014-11-04
8/20/2014,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1360,0.0,1990,1990.0,98103,47.6838,-122.353,1500,3090,25.0,1990,2014-08-20
4/9/2015,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1110,0.0,1947,1947.0,98107,47.655,-122.359,1420,5000,68.0,1947,2015-04-09
3/31/2015,282950.0,3,1.0,1250,8200,1.0,0.0,0.0,4,7,1250,0.0,1954,1954.0,98003,47.3255,-122.304,1680,8633,61.0,1954,2015-03-31
4/1/2015,2250000.0,4,3.25,5180,19850,2.0,0.0,3.0,3,12,3540,1640.0,2006,2006.0,98006,47.562,-122.162,3160,9750,9.0,2006,2015-04-01
